Date,Open,High,Low,Close,Volume,Ticker,Return,CumulativeReturn,RollingVol_21D,RollingVol_21D_Ann,RollingSharpe_21D,RunningMax,Drawdown,MarketReturn
2024-10-15,233.61,237.49,232.37,233.85,"64,751,367",AAPL,,,,,,233.85,0.0,
2024-10-16,231.6,232.12,229.84,231.78,"34,082,238",AAPL,-0.008851828094932568,-0.008851828094932568,,,,233.85,-0.008851828094932568,0.0040211704715659635
2024-10-17,233.43,233.85,230.52,232.15,"32,993,809",AAPL,0.0015963413581845387,-0.0072696172760314814,,,,233.85,-0.0072696172760315925,0.0020440978856135017
2024-10-18,236.18,236.18,234.01,235.0,"46,431,473",AAPL,0.012276545337066569,0.004917682274962809,,,,235.0,0.0,0.004554231407331545
2024-10-21,234.45,236.85,234.45,236.48,"36,254,473",AAPL,0.006297872340425448,0.01124652555056671,,,,236.48,0.0,0.00446649966727957
2024-10-22,233.89,236.22,232.6,235.86,"38,846,578",AAPL,-0.0026217861975641465,0.00859525336754352,,,,236.48,-0.0026217861975641465,0.003840884696175289
2024-10-23,234.08,235.14,227.76,230.76,"52,286,980",AAPL,-0.021622996692953533,-0.013213598460551479,,,,236.48,-0.024188092016238172,-0.015621472377954955
2024-10-24,229.98,230.82,228.41,230.57,"31,109,500",AAPL,-0.0008233662679840714,-0.014026085097284424,,,,236.48,-0.024991542625169116,0.03359690454734592
2024-10-25,229.74,233.22,229.57,231.41,"38,802,301",AAPL,0.0036431452487313276,-0.010434038913833543,,,,236.48,-0.021439445196211104,0.0068939057187800456
2024-10-28,233.32,234.73,232.55,233.4,"36,087,129",AAPL,0.00859945551186203,-0.0019243104554200752,,,,236.48,-0.013024357239512785,-0.002096093908054018
2024-10-29,233.1,234.33,232.32,233.67,"35,417,246",AAPL,0.0011568123393315144,-0.0007697241821681411,,,,236.48,-0.011882611637347829,-0.0006680650478057945
2024-10-30,232.61,233.47,229.55,230.1,"47,070,910",AAPL,-0.015277956091924505,-0.016035920461834552,,,,236.48,-0.026979025710419435,-0.0033354458298844474
2024-10-31,229.34,229.83,225.37,225.91,"64,370,090",AAPL,-0.018209474141677506,-0.033953388924524264,,,,236.48,-0.04469722598105541,-0.028432165520517545
2024-11-01,220.97,225.35,220.27,222.91,"65,276,738",AAPL,-0.01327962462927712,-0.04678212529399184,,,,236.48,-0.057383288227334184,0.009114103683244437
2024-11-04,220.99,222.79,219.71,222.01,"44,944,473",AAPL,-0.004037503925351071,-0.0506307462048321,,,,236.48,-0.061189106901217816,-0.003106939672629348
2024-11-05,221.8,223.95,221.14,223.45,"28,111,340",AAPL,0.006486194315571403,-0.04447295274748764,,,,236.48,-0.05509979702300405,0.01533561655225538
2024-11-06,222.61,226.07,221.19,222.72,"54,561,121",AAPL,-0.0032669501006936663,-0.047594611930724784,,,,236.48,-0.05818673883626524,0.053830831234647505
2024-11-07,224.63,227.88,224.57,227.48,"42,137,688",AAPL,0.021372126436781658,-0.027239683557836125,,,,236.48,-0.03805818673883632,0.008238914326631819
2024-11-08,227.17,228.66,226.41,226.96,"38,328,820",AAPL,-0.0022859152452961995,-0.029463331195210385,,,,236.48,-0.04025710419485784,0.008243867355808081
2024-11-11,225.0,225.7,221.5,224.23,"42,005,602",AAPL,-0.012028551286570432,-0.041137481291426026,,,,236.48,-0.051801420838971546,0.006974186656646826
